uuid,year,type,collection,title,handle_url,pdf_count,pdf_names,pdf_mb,pdf_urls,non_pdf_count,has_text_bundle
81e53898-47c9-4f20-a300-29e296362c03,2021,conferenceObject,1.1 Eventos institucionales,dPyx: herramienta de apoyo a la evaluación de repositorios,https://hdl.handle.net/20.500.12390/2281,1,dPyx- Nydia.pdf,3.7,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/80f7f1e7-9807-d5f4-cc76-87a939e2afe0/content,0,True
f775527e-0c51-42a1-a6b6-c1dd5f436274,2013,report,1.1 Eventos institucionales,"La innovación tecnológica en el sector manufacturero: esfuerzos y resultados de la pequeña, mediana y gran empresa",https://hdl.handle.net/20.500.12390/102,1,CONCYTEC0000077.pdf,2.3,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/1bf5686a-3660-cafa-342f-f8754a027323/content,0,True
ea16b1dd-4593-4334-b41b-5300882715f1,2021,conferenceObject,1.1 Eventos institucionales,Recomendaciones técnicas para la correcta agregaciónde los repositorios en ALICIA y LA Referencia,https://hdl.handle.net/20.500.12390/2911,1,SIRDAA2021_MurilloGuillermo.pdf,1.5,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/d59e8ab9-6c0d-7332-f6dc-ea45cb10838e/content,0,True
f47d6648-7196-4081-ba35-22b28d9c79da,2019,conferenceObject,1.1 Eventos institucionales,Retos de la investigación y producción científica en América Latina,https://hdl.handle.net/20.500.12390/418,1,machin_mj.pdf,2.8,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/52f7e6c9-df3f-3f28-6843-97046429d2fc/content,0,True
d5c590d2-d4b2-47de-9b0d-822e3b5e9ee2,2019,conferenceObject,1.1 Eventos institucionales,Avances en una implementación DSpace-CRIS: Caso CONCYTEC,https://hdl.handle.net/20.500.12390/462,1,7_rivero_sa-RENARE-Tarapoto2019.pdf,3.6,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/4a830c26-4e93-b26d-6bc3-1beb0b06df4f/content,0,True
82531ff7-b2d7-4a9d-a728-eed5b19668ec,2020,conferenceObject,1.1 Eventos institucionales,Implementación de repositorios institucionales en el marco de la Ley 30035,https://hdl.handle.net/20.500.12390/2206,1,TallerVirtual_ALICIA-RENATI-parteI_14.12.20.pdf,3.0,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/1e385452-9537-edaf-50a6-297982448a2b/content,0,True
8a980c05-6856-4b04-8fc4-55d18ebcb87a,2004,book,1.2 Publicaciones institucionales,Diseño de elementos de máquinas,https://hdl.handle.net/20.500.12390/3831,0,,0.0,,0,True
bf8d1cd4-a231-471b-aaeb-adaded4c61b8,2024,article,1.2 Publicaciones institucionales,Libros & Ciencias: Revista de divulgación científica (N° 7 - Setiembre 2024),https://hdl.handle.net/20.500.12390/3694,1,Libros-ciencias-N7(Set.2024).pdf.pdf,46.6,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/2245907c-c63b-4a3e-bcf7-932a86421804/content,0,True
529a1c3d-e5d4-409e-a5d4-a94efd2eb369,1991,book,1.2 Publicaciones institucionales,Economía para la planificación,https://hdl.handle.net/20.500.12390/3757,0,,0.0,,0,True
627f284e-cb68-4897-9659-ad2a20840fe5,1996,book,1.2 Publicaciones institucionales,Secado de la madera,https://hdl.handle.net/20.500.12390/3758,0,,0.0,,0,False
77426e16-2da3-4317-bb1a-5aa302aa4e67,2013,book,1.2 Publicaciones institucionales,Experimentación agrícola: Soluciones con SAS,https://hdl.handle.net/20.500.12390/3804,0,,0.0,,0,True
4529fcf1-010c-422a-a2de-cdff03951e8b,2010,book,1.2 Publicaciones institucionales,Identificación de megaproyectos de investigación científica,https://hdl.handle.net/20.500.12390/3814,0,,0.0,,0,True
cb8c0afa-78ae-4655-9d50-59194d36ab5f,2015,report,1.1 Eventos institucionales,"Perú: una visión de futuro para la Ciencia, Tecnología e Innovación. Memoria institucional 2014",https://hdl.handle.net/20.500.12390/475,1,CONCYTEC_memoria_institucional_2014.pdf,4.1,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/51413194-7f73-46fa-8112-333b482846d9/content,0,True
f2849d52-418d-4a44-adee-42de45081e85,1990,book,1.2 Publicaciones institucionales,Reestructuración y reconversión industrial: nueva estrategia para el desarrollo nacional,https://hdl.handle.net/20.500.12390/3791,0,,0.0,,0,True
518198eb-b01d-4b7d-9b56-8d6d6d3c633e,2021,conferenceObject,1.1 Eventos institucionales,Gestión de datos de investigación en repositorios,https://hdl.handle.net/20.500.12390/2909,1,SIRDAA2021_TorresJoel.pdf,2.4,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/02f56ae4-4f1a-1406-49d1-c539c4be9e6b/content,0,True
8f9b2aa2-c1e1-4c4f-97d7-b7f702be417c,2002,book,1.2 Publicaciones institucionales,"Foro: Ciencia y tecnología en la sociedad de la información, VOL. II",https://hdl.handle.net/20.500.12390/3785,0,,0.0,,0,True
9739b3f5-ac30-40ba-a3ce-a5a005f02f60,2020,report,1.1 Eventos institucionales,Resumen de los 190 proyectos de investigación aplicada y desarrollo tecnológico,https://hdl.handle.net/20.500.12390/2203,1,resumen_190_proyectos_investigacion_aplicada_y_desarrollo_tecnologico.pdf,1.2,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/a9039ad8-94fe-6f55-c220-95f2d0e03372/content,0,True
e50695e0-de7c-4c29-8399-a1fede476bf5,2020,conferenceObject,1.1 Eventos institucionales,RENATI: Registro Nacional de Trabajos conducentes a Grados y Títulos,https://hdl.handle.net/20.500.12390/2207,1,TallerVirtual_ALICIA-RENATI-parteII_14.12.20.pdf,2.0,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/30e882d4-2231-e05f-d03d-7c68ca9e131d/content,0,True
a9703897-4bd4-4b2e-94ab-57b6614cafb3,2022,conferenceObject,1.1 Eventos institucionales,Evaluación de publicaciones científicas: Experiencia en la UNALM desde el proyecto SCEIBA,https://hdl.handle.net/20.500.12390/3138,1,HatumTinkuy2022_FuentesE_2.pdf,0.8,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/1d36f076-ab88-d332-7c02-9dcab22bec0f/content,0,True
704c4b74-7204-4c6b-8c6d-7399537504de,2018,conferenceObject,1.1 Eventos institucionales,Integración de ORCID con los directorios de CTI del CONCYTEC,https://hdl.handle.net/20.500.12390/71,1,CONCYTEC0000048.pdf,6.3,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/015c2f02-5a5e-100d-47a4-cf99f994cc54/content,0,True
